date,machine_name,investment,return
2023-12-14,リゼロ強欲,75000,0
2023-12-14,リゼロ鬼がかり,75000,0
2023-12-15,リゼロ強欲,25000,0
2023-12-20,リゼロ鬼がかり,3000,33000
2023-12-21,リゼロ鬼がかり,5000,0
2023-12-23,ジャグラー,1000,26000
2023-12-23,リゼロ鬼がかり,15000,0
2023-12-24,リゼロ鬼がかり,500,0
2023-12-25,リゼロ鬼がかり,3000,2000
2023-12-27,ジャグラー,1000,0
2023-12-27,リゼロ鬼がかり,5000,0
2023-12-28,ジャグラー,5000,0
2023-12-30,ジャグラー,4000,0
2023-12-30,リゼロ鬼がかり,6000,0
2024-01-01,ジャグラー,4000,5000
2024-01-02,ジャグラー,5000,0
2024-01-04,ジャグラー,5000,0
2024-01-05,ジャグラー,7000,0
2024-01-05,リゼロ強欲,1000,0
2024-01-05,リゼロ鬼がかり,1000,0
2024-01-06,ジャグラー,1000,7000
2024-01-06,リゼロ強欲,1000,0
2024-01-06,リゼロ鬼がかり,1000,0
2024-01-07,ジャグラー,1000,6000
2024-01-07,リゼロ鬼がかり,2000,0
2024-01-09,ジャグラー,3000,0
2024-01-10,ジャグラー,2000,11000
2024-01-10,リゼロ強欲,1000,0
2024-01-13,ジャグラー,1000,0
2024-01-15,ジャグラー,7000,3000
2024-01-16,ジャグラー,1000,0
2024-01-18,ジャグラー,3000,0
2024-01-20,ジャグラー,1000,18500
2024-01-20,リゼロ強欲,4000,0
2024-01-21,ジャグラー,27000,26500
2024-01-21,リゼロ鬼がかり,4000,0
2024-01-25,ジャグラー,10000,0
2024-01-27,ジャグラー,24000,19000
2024-01-29,ジャグラー,2000,15000
2024-01-30,ジャグラー,7000,9500
2024-01-31,ジャグラー,23000,14000
2024-02-01,ジャグラー,30000,33000
2024-02-03,ジャグラー,28000,26500
2024-02-03,リゼロ強欲,1000,0
2024-02-03,リゼロ鬼がかり,1000,0
2024-02-04,ジャグラー,16000,4500
2024-02-05,ジャグラー,9000,3000
2024-02-05,リゼロ強欲,2000,0
2024-02-08,ジャグラー,10000,4000
2024-02-10,ジャグラー,8000,13000
2024-02-11,pエヴァンゲリオン,22000,0
2024-02-11,インデックス,1000,0
2024-02-11,ジャグラー,13000,0
2024-02-11,リゼロ強欲,4000,0
2024-02-12,ジャグラー,6000,5500
2024-02-13,ジャグラー,10000,19500
2024-02-14,ジャグラー,1000,4500
2024-02-14,リゼロ強欲,1000,0
2024-02-15,ジャグラー,11000,19500
2024-02-16,ジャグラー,24000,32000
2024-02-17,ジャグラー,39000,0
2024-02-17,リゼロ強欲,15000,0
2024-02-19,ジャグラー,23000,0
2024-02-20,ジャグラー,14000,26000
2024-02-22,pエヴァンゲリオン,6000,0
2024-02-22,ジャグラー,20000,25400
2024-02-23,ジャグラー,5000,8500
2024-02-24,ジャグラー,12000,11500
2024-02-25,ジャグラー,21000,20500
2024-02-27,ジャグラー,12000,28000
2024-02-28,ジャグラー,15000,0
2024-03-01,ジャグラー,2000,4000
2024-03-02,ジャグラー,23000,0
2024-03-05,ジャグラー,15000,13000
2024-03-07,ジャグラー,34000,21000
2024-03-09,ジャグラー,36500,0
2024-03-09,リゼロ鬼がかり,3500,0
2024-03-10,ジャグラー,2000,9500
2024-03-11,ジャグラー,13000,0
2024-03-12,ジャグラー,3000,12000
2024-03-13,ジャグラー,3000,6000
2024-03-15,ジャグラー,10000,0
2024-03-16,ジャグラー,36000,6000
2024-03-17,ジャグラー,4000,13200
2024-05-01,ジャグラー,5000,10000
2024-05-03,ジャグラー,5000,0
2024-05-07,カバネリ,14000,0
2024-05-07,ジャグラー,2000,5000
2024-05-07,ヴァルヴレイヴ,5000,6000
2024-05-09,ジャグラー,1000,11000
2024-05-12,ジャグラー,10000,2000
2024-05-13,ジャグラー,1000,13000
2024-05-17,ジャグラー,18000,0
2024-05-18,ジャグラー,4000,12000
2024-05-19,ジャグラー,33000,0
2024-05-19,リゼロ鬼がかり,8000,0
2024-05-19,ヴァルヴレイヴ,10000,0
2024-05-19,南国育ち,5000,23000
2024-05-20,ジャグラー,5000,0
2024-05-20,南国育ち,3000,0
2024-05-22,ジャグラー,20000,0
2024-05-22,南国育ち,13000,0
2024-05-24,ジャグラー,4000,6000
2024-05-30,ジャグラー,7000,0
2024-05-30,南国育ち,12000,0
2024-05-31,ジャグラー,14000,12000
2024-05-31,南国育ち,20000,0
2024-06-20,ジャグラー,3000,12000
2024-06-20,リゼロ鬼がかり,2000,12000
2024-06-20,南国育ち,4000,2000
2024-06-21,ジャグラー,6000,0
2024-06-21,リゼロ鬼がかり,3000,0
2024-06-22,カバネリ,14000,0
2024-06-22,ジャグラー,30000,17000
2024-06-22,ヴァルヴレイヴ,4000,0
2024-06-22,南国育ち,1000,1000
2024-06-27,ジャグラー,3000,0
2024-06-29,ジャグラー,15000,0
2024-06-29,リゼロ鬼がかり,8000,0
2024-06-29,ヴァルヴレイヴ,4000,58200
2024-06-30,ヴァルヴレイヴ,20000,0
2024-06-30,南国育ち,50000,0
2024-07-04,ジャグラー,5000,12000
2024-07-05,ジャグラー,15000,0
2024-07-07,ジャグラー,10000,5000
2024-07-07,ヴァルヴレイヴ,50000,35000
2024-07-15,ジャグラー,5000,0
2024-07-19,ジャグラー,10000,0
2024-07-19,ヴァルヴレイヴ,3000,0
2024-07-30,海物語,1000,0
2024-08-08,ジャグラー,10000,0
2024-08-09,ジャグラー,5000,6000
2024-08-09,ヴァルヴレイヴ,5000,6000
2024-08-09,海物語,1000,2000
2024-08-13,ジャグラー,23000,0
2024-08-13,ヴァルヴレイヴ,5000,0
2025-09-19,リゼロ強欲,3000,18000
2025-09-30,ジャグラー,6000,0
2025-09-30,リゼロ強欲,1000,0
2025-09-30,リゼロ鬼がかり,7500,65000
2025-10-01,ジャグラー,10000,5000
2025-10-02,ジャグラー,2000,7000
2025-10-03,ジャグラー,14000,4000
2025-10-04,ジャグラー,11000,0
2025-10-07,ジャグラー,2000,0
2025-10-07,リゼロ鬼がかり,20000,0
2025-10-10,ジャグラー,3000,0
2025-10-10,リゼロ鬼がかり,10000,2000
2025-10-14,pエヴァンゲリオン,7000,0
2025-10-14,ジャグラー,7000,11000
2025-10-14,リゼロ鬼がかり,12000,20000
2025-10-17,ジャグラー,10000,12000
2025-10-17,リゼロ強欲,3000,0
2025-10-17,リゼロ鬼がかり,30000,15500
2025-10-17,海物語,7500,10000
2025-10-20,ジャグラー,7000,0
2025-10-20,ブルーロック,13000,51000
2025-10-20,リゼロ強欲,5000,0
2025-10-21,ジャグラー,5000,5000
2025-10-21,リゼロ強欲,10000,30000
2025-10-21,リゼロ鬼がかり,13000,17000
2025-10-21,東京リベンジャーズ,8000,0
2025-10-21,海物語,19000,0
2025-10-23,ジャグラー,4000,1000
2025-10-23,リゼロ強欲,3000,0
2025-10-23,リゼロ鬼がかり,15000,0
2025-10-24,ジャグラー,7000,0
2025-10-24,リゼロ強欲,5000,0
2025-10-24,リゼロ鬼がかり,20000,0
2025-10-24,海物語,10000,0
2025-10-31,ジャグラー,10000,0
2025-10-31,ヴァルヴレイヴ,15000,0
2025-11-02,ジャグラー,1000,5000
2025-11-02,海物語,1000,0
2025-11-04,ジャグラー,9000,0
2025-11-04,ブルーロック,10000,0
2025-11-04,リゼロ強欲,8000,0
2025-11-04,リゼロ鬼がかり,5000,2000
2025-11-04,沖ドキ,10000,0
2025-11-04,海物語,5000,0
2025-11-06,ジャグラー,5000,3200
2025-11-08,ジャグラー,1000,4400
2025-11-08,海物語,1000,1000
2025-11-09,ジャグラー,6000,0
2025-11-10,ジャグラー,9000,0
2025-11-10,リゼロ鬼がかり,1000,0
2025-11-11,eからくりサーカス2,17000,0
2025-11-11,ジャグラー,11000,15200
2025-11-11,リゼロ強欲,9500,77800
2025-11-11,リゼロ鬼がかり,5000,0
2025-11-14,ジャグラー,3000,0
2025-11-14,リゼロ強欲,20000,0
2025-11-14,東京喰種,10000,0
2025-11-16,ジャグラー,7000,0
2025-11-16,リゼロ強欲,30000,0
2025-11-16,ヴァルヴレイヴ,3000,0
2025-11-20,ジャグラー,6000,9800
2025-11-20,リゼロ強欲,17000,0
2025-11-20,リゼロ鬼がかり,3000,0
2025-11-21,ジャグラー,4000,0
2025-11-21,リゼロ強欲,6000,49000
2025-11-21,ヴァルヴレイヴ,2000,7000
2025-11-25,ジャグラー,4000,10000
2025-11-25,リゼロ強欲,35000,0
2025-11-25,リゼロ鬼がかり,9000,0
2025-11-25,ヴァルヴレイヴ,10000,0
2025-11-25,牙狼,5000,0
2025-11-27,ジャグラー,9000,19000
2025-11-27,リゼロ鬼がかり,8000,0
2025-11-28,ジャグラー,4000,6600
2025-11-28,ブルーロック,5000,0
2025-11-28,リゼロ強欲,10000,0
2025-11-28,ヴァルヴレイヴ,5000,0
2025-11-28,ヴァルヴレイヴ2,12400,0
2025-12-01,ジャグラー,1000,6000
2025-12-02,ジャグラー,19000,0
2025-12-02,リゼロ強欲,5000,0
2025-12-02,リゼロ鬼がかり,5000,0
2025-12-02,海物語,3000,0
2025-12-05,ジャグラー,4000,12000
2025-12-05,ノリ打ち収支,0,4500
2025-12-05,リゼロ強欲,6000,0
2025-12-05,リゼロ鬼がかり,10000,0
2025-12-05,ヴァルヴレイヴ2,13000,24000
2025-12-05,海物語,3000,0
2025-12-09,ジャグラー,5000,10200
2025-12-09,ジャグラー,5000,0
2025-12-09,ノリ打ち収支,10000,0
2025-12-09,リゼロ強欲,5000,0
2025-12-09,ヴァルヴレイヴ2,20000,0
2025-12-09,牙狼,10000,0
2025-12-12,ジャグラー,1000,6000
2025-12-12,ノリ打ち収支,22500,0
2025-12-12,リゼロ強欲,10000,30000
2025-12-14,ジャグラー,3000,1200
2025-12-15,ジャグラー,5000,11000
2025-12-15,リゼロ鬼がかり,5000,5000
2025-12-16,ジャグラー,13000,0
2025-12-16,リゼロ鬼がかり,12000,0
2025-12-16,ヴァルヴレイヴ,2000,7000
2025-12-16,牙狼,8000,0
2025-12-18,ジャグラー,7000,0
2025-12-22,ジャグラー,5000,6800
2025-12-23,ジャグラー,1000,6000
2025-12-23,ヴァルヴレイヴ2,11000,208600
2025-12-24,ジャグラー,6000,0
2025-12-24,ヴァルヴレイヴ2,23000,0
2025-12-26,ヴァルヴレイヴ2,33000,0
2025-12-27,ノリ打ち収支,0,2000
2025-12-27,リゼロ鬼がかり,1000,41000
2025-12-27,北斗の拳,11000,11000
2025-12-28,トラブル,47000,28000
2025-12-28,ノリ打ち収支,4000,0
2025-12-28,リゼロ強欲,10000,0
2025-12-28,南国育ち,10000,0
2026-01-02,ジャグラー,1000,3800
2026-01-08,eエヴァンゲリオン,5000,0
2026-01-08,ジャグラー,5000,0
2026-01-11,トラブル,50000,7000
2026-01-11,ヴァルヴレイヴ2,15000,17000
2026-01-13,ジャグラー,1000,10000
2026-01-13,トラブル,50000,14000
2026-01-13,ノリ打ち収支,8000,0
2026-01-13,ヴァルヴレイヴ2,14000,30000
2026-01-16,ジャグラー,8000,0
2026-01-16,トラブル,15000,23000
2026-01-16,ヴァルヴレイヴ2,50000,12000
2026-01-17,ジャグラー,5000,10600
2026-01-17,ヴァルヴレイヴ2,13000,10000
2026-01-18,ジャグラー,7800,0
2026-01-18,リゼロ鬼がかり,4500,31400
2026-01-18,ヴァルヴレイヴ2,11000,25000
2026-01-19,ヴァルヴレイヴ2,48000,10000
2026-01-20,ジャグラー,6000,6000
2026-01-20,トラブル,23000,10000
2026-01-20,ノリ打ち収支,0,60600
2026-01-20,ヴァルヴレイヴ,13000,26800
2026-01-20,ヴァルヴレイヴ2,32000,8000
2026-01-20,東京喰種,4000,0
2026-01-23,かぐや様,10000,0
2026-01-23,ジャグラー,5000,18000
2026-01-23,トラブル,22000,0
2026-01-23,ノリ打ち収支,59000,0
2026-01-23,ヴァルヴレイヴ2,5000,116000
2026-01-23,海物語,1000,0
2026-01-26,ジャグラー,4000,12000
2026-01-26,トラブル,30000,5000
2026-01-26,ヴァルヴレイヴ2,27000,0
2026-01-27,かぐや様,20000,26000
2026-01-27,ジャグラー,2000,0
2026-01-27,トラブル,46000,77200
2026-01-30,ノリ打ち収支,0,17000
2026-01-30,ヴァルヴレイヴ2,28000,10000
2026-02-03,ジャグラー,2000,0
2026-02-03,チバリヨ2,35000,0
2026-02-03,トラブル,21000,0
2026-02-03,リゼロ鬼がかり,5000,0
2026-02-03,ヴァルヴレイヴ2,33000,0
2026-02-13,eアズールレーン,8500,48000
2026-02-13,ノリ打ち収支,59500,0
2026-02-13,ヴァルヴレイヴ2,27000,80000
2026-02-14,ヴァルヴレイヴ2,25000,66800
2026-02-15,かぐや様,12000,0
2026-02-15,ノリ打ち収支,5500,0
2026-02-15,マギレコ,13000,52000
2026-02-15,リゼロ鬼がかり,3000,24000
2026-02-15,ヴァルヴレイヴ2,54000,10000
2026-02-15,無職転生,7000,7500
2026-02-16,eアズールレーン,10000,0
2026-02-16,かぐや様,11000,0
2026-02-16,ジャグラー,6000,0
2026-02-16,リゼロ鬼がかり,2000,0
2026-02-16,ヴァルヴレイヴ2,36000,5000
2026-02-16,化物語,17000,0
2026-02-16,東京喰種,5000,0
2026-02-19,eアズールレーン,10000,0
2026-02-19,トラブル,27000,0
2026-02-19,モンハン,5000,0
2026-02-19,ヴァルヴレイヴ2,65000,0
2026-02-19,東京喰種,4000,0
2026-02-19,秘宝伝,12000,3600
2026-02-21,ジャグラー,2000,4000
2026-02-21,トラブル,38000,24000
2026-02-23,ジャグラー,5000,0
2026-02-23,トラブル,2000,37000
2026-02-23,マギレコ,7000,0
2026-02-23,ヴァルヴレイヴ,5000,0
2026-02-23,ヴァルヴレイヴ2,4000,106000
2026-02-24,かぐや様,14000,4000
2026-02-24,トラブル,3000,14000
2026-02-24,ノリ打ち収支,0,8000
2026-02-24,炎炎ノ消防隊,22000,0
2026-02-26,ジャグラー,2000,0
2026-02-26,ゾンビランドサガ,37000,15000
2026-02-26,トラブル,10000,0
2026-02-26,ノリ打ち収支,0,51000
2026-03-03,Lアズールレーン,30000,0
2026-03-03,L東京喰種,14000,0
2026-03-03,eアズールレーン,5000,0
2026-03-03,eエヴァンゲリオン,10000,0
2026-03-03,ジャグラー,3000,8000
2026-03-03,トラブル,30000,0
2026-03-03,ノリ打ち収支,7000,0
2026-03-03,ヴァルヴレイヴ2,43000,22000
2026-03-06,Lカバネリ,6000,0
2026-03-06,かぐや様,26000,0
2026-03-06,トラブル,10000,35000
2026-03-06,ノリ打ち収支,81000,0
2026-03-06,ヴァルヴレイヴ2,3000,106000
2026-03-13,ヴァルヴレイヴ2,6000,55200
2026-03-15,ジャグラー,3000,0
2026-03-15,リゼロ強欲,10000,0
2026-03-15,ヴァルヴレイヴ2,19000,20000
2026-03-16,ジャグラー,1000,5000
2026-03-16,ノリ打ち収支,21300,0
2026-03-16,リゼロ強欲,10000,0
2026-03-16,ヴァルヴレイヴ2,4000,40000
